,shannon,richness
SRR14291145,3.716609130718962,267
SRR14291146,3.331819533155417,260
SRR14291147,3.4681180856806435,265
SRR14291148,3.3640744777750493,263
SRR14291149,3.1870089191197746,261
SRR14291150,2.9297180423452973,254
SRR14291151,3.137759885075143,258
SRR14291152,3.485693444638474,261
SRR14291153,2.807960430200526,253
SRR14291154,2.766099185246105,250
SRR14291155,2.821198975155966,254
SRR14291156,3.6992672850578963,262
SRR14291157,2.9167573037931263,259
SRR14291158,3.243581089995386,256
SRR14291159,3.3523367860944076,257
SRR14291160,3.9932755826415196,263
SRR14291161,3.95326578404962,265
SRR14291162,3.8471687701892363,268
SRR14291163,3.88556155263084,269
SRR14291164,3.7118574732941494,261
SRR14291165,3.29844501531053,264
SRR14291166,2.828886152799379,257
SRR14291167,3.3439819333979504,262
SRR14291168,3.1048212656303136,256
SRR14291169,2.674259609837005,253
SRR14291170,2.723823839249007,249
SRR14291171,2.6096335234030548,243
SRR14291172,3.4129373322735734,258
SRR14291173,2.653123513219975,246
SRR14291174,2.4419275877323443,245
SRR14291175,2.472799041333907,243
SRR14291176,2.574763272899281,246
SRR14291177,3.1133227139454123,265
SRR14291178,3.3235756232199494,253
SRR14291179,3.3027503699882974,248
SRR14291180,3.1578485564414005,249
SRR14291181,3.3542654972772254,256
SRR14291182,3.1937782207094867,259
SRR14291183,2.811755243950105,264
SRR14291184,3.49336279999392,260
SRR14291185,3.5157887679739153,252
SRR14291186,3.4155257908385135,250
SRR14291187,2.8400027899456544,239
SRR14291188,2.5503120798757455,231
SRR14291189,3.036569024065243,251
SRR14291190,3.459052863389048,259
SRR14291191,3.315570521424011,245
SRR14291192,3.345120252730638,256
SRR14291193,3.3615694758142594,257
SRR14291194,3.602486535141031,263
SRR14291195,3.4117828653412032,263
SRR14291196,3.3907491666873906,261
SRR14291197,3.1235983662994653,256
SRR14291198,3.417945596349768,260
SRR14291199,2.983320809528627,256
SRR14291200,3.261689002852459,257
SRR14291201,2.806623193547771,249
SRR14291202,3.002243592703661,259
SRR14291203,3.147852331166964,248
SRR14291204,3.6544377076278716,266
SRR14291205,2.748125994297755,256
SRR14291206,3.50853690863822,265
SRR14291207,3.702126574415491,261
SRR14291208,3.4284965185859884,265
SRR14291209,2.7971247219417705,251
SRR14291210,2.4528247292513914,249
SRR14291211,3.6803618588640434,270
SRR14291212,3.117589122742719,262
SRR14291213,3.554816489765206,268
SRR14291214,4.104396314750064,269
SRR14291215,3.910148974844601,269
SRR14291216,3.7982998212501378,266
SRR14291217,3.801490593532021,271
SRR14291218,3.3844758201636984,271
SRR14291219,3.1619877090490682,265
SRR14291220,3.29986189939366,261
SRR14291221,3.0704426698698555,265
SRR14291222,3.318341113056537,267
SRR14291223,3.085585120421275,266
SRR14291224,3.030806195137252,259
SRR14291225,3.2183285992240154,269
SRR14291226,4.087586424767398,267
SRR14291227,4.041941655046863,267
SRR14291228,3.7223087672314605,266
SRR14291229,3.932050231206702,270
SRR14291230,3.929557830318303,263
SRR14291231,3.4543165058161223,261
SRR14291232,3.70261507636363,270
SRR14291233,3.8113186956100575,267
SRR14291234,3.6866513605145474,265
SRR14291235,3.6704933821624284,265
SRR14291236,3.4820916877683166,264
SRR14291237,3.669188863482241,261
SRR14291238,3.6027064307936794,264
SRR14291239,3.818011363728683,264
SRR14291240,3.5449878721636257,265
SRR14291241,3.2626955241664635,261
SRR14291242,3.356217869122186,263
SRR14291243,3.5130293627878357,261
SRR14291244,3.9100340860183174,265
SRR14291245,2.9825512038692974,254
SRR14291246,2.8489249519693427,253
SRR14291247,2.963674699337328,240
SRR14291248,3.651949789448069,266
SRR14291249,3.6496781771997093,265
SRR14291250,3.9370819322642863,267
SRR14291251,3.976247945802528,269
SRR14291252,4.008374378575011,266
SRR14291253,3.9446742220100655,266
SRR14291254,3.700034065963707,267
SRR14291255,3.539800643974675,258
SRR14291256,3.538555046716482,265
SRR14291257,3.09920407507001,249
SRR14291258,3.003447451474686,256
SRR14291259,3.3021624136776495,259
SRR14291260,3.6795329664459557,266
SRR14291261,4.025912463213508,268
SRR14291262,3.8855242930397162,267
SRR14291263,3.820180008170489,265
SRR14291264,3.8062236661415834,265
SRR14291265,3.5778978187921155,267
SRR14291266,3.5113309647240496,262
SRR14291267,3.748283776699592,266
SRR14291268,3.831239524797246,271
SRR14291269,3.012800139527753,256
SRR14291270,3.660932027368574,264
SRR14291271,2.770823640862825,254
SRR14291272,2.7669523352713443,249
SRR14291273,2.430920437639011,246
SRR14291274,3.4958927830385367,265
SRR14291275,3.495952349992921,261
SRR14291276,3.523269595757453,263
