,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Corynebacterium vitaeruminis,0,0,0,0,0,0,0,21,0,0,0,14,0,0,27,0,0,0,16,0,0
Desulfosudis oleivorans,22,0,0,0,0,0,12,28,0,12,0,44,19,14,27,25,18,19,24,10,21
Agrobacterium vaccinii,27,0,0,0,0,0,12,32,12,14,0,17,21,12,16,27,21,30,27,25,14
Streptomyces sp. JB150,0,0,0,0,0,0,27,19,0,0,0,0,34,22,31,24,17,0,27,0,20
Vibrio rhizosphaerae,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Comamonas flocculans,17,0,16,0,0,0,0,21,0,0,0,0,16,0,0,15,0,0,0,0,29
Pseudomonas koreensis,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Olleya sp. HaHaR_3_96,48,0,0,0,0,33,41,0,26,31,27,52,22,0,0,0,0,45,29,26,0
Acinetobacter nosocomialis,65,0,0,0,0,22,19,27,0,20,26,30,17,0,19,66,27,50,30,0,25
Mycobacterium seoulense,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0
Campylobacter cuniculorum,0,11,0,14,0,0,0,15,0,0,0,13,11,11,0,0,0,10,12,0,0
Succinivibrio dextrinosolvens,122,55,117,31,62,37,67,62,31,28,53,133,43,47,54,62,61,120,69,47,92
Streptomyces sp. Tu 2975,22,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
Paraburkholderia caledonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Salegentibacter mishustinae,26,0,0,0,0,0,0,0,0,0,0,18,0,0,0,15,0,30,38,24,0
Vibrio azureus,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0
Sedimenticola selenatireducens,12,0,0,0,0,0,10,17,0,0,0,15,17,12,21,12,19,13,20,10,16
Pantoea phytobeneficialis,40,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,29,31,18,14,19
Brevundimonas sp. M20,25,0,16,17,0,0,0,18,0,0,0,0,99,0,16,16,33,21,14,25,23
Agrococcus sp. SGAir0287,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio plantisponsor,28,0,0,0,0,0,0,15,0,0,0,29,0,14,22,13,0,14,18,13,0
Idiomarina piscisalsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,11,27
Halomonas sp. KO116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26,0
Allosphingosinicella indica,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,10
Oceanimonas sp. GK1,0,0,10,0,0,0,0,14,0,0,18,0,19,19,0,30,14,13,16,0,28
Nocardiopsis exhalans,0,26,0,50,51,0,54,45,19,0,11,0,27,18,41,27,34,48,53,23,19
Propionibacterium australiense,15,0,0,0,0,0,13,24,0,0,0,10,13,0,10,10,19,15,19,17,28
Metamycoplasma equirhinis,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,0,16
Pluralibacter gergoviae,58,0,24,0,12,0,14,29,0,0,0,15,21,0,19,0,0,17,16,14,37
Leptogranulimonas caecicola,31,0,27,20,13,14,43,66,16,21,24,18,48,53,51,41,73,62,47,48,67
Thalassovita sp.,24,11,11,19,0,0,20,34,14,15,0,45,13,21,27,32,32,34,28,19,46
Gleimia europaea,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Dactylococcopsis salina,0,0,17,0,0,12,0,11,0,0,11,0,0,12,0,0,11,20,24,13,0
Xanthomonas hyacinthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Pseudomonas viciae,0,0,0,0,0,0,19,17,0,0,0,0,18,24,0,17,0,28,23,0,25
Caldisphaera lagunensis,0,0,0,0,0,15,0,0,12,0,0,0,0,0,0,10,12,16,19,0,0
Lacrimispora sphenoides,607,426,648,333,327,204,401,512,220,277,468,843,413,336,474,733,416,569,552,325,751
Aeromonas bestiarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0
Athalassotoga saccharophila,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0
Trichlorobacter ammonificans,16,12,16,0,0,10,0,22,0,0,0,0,13,0,25,20,14,23,23,14,25
Aeromonas veronii,56,43,46,60,54,49,60,121,49,31,61,65,47,66,57,91,119,92,89,56,198
Xanthomonas dyei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Desulfocapsa sulfexigens,12,10,12,0,0,0,12,10,0,0,0,18,24,18,42,10,0,17,18,19,42
Capnocytophaga ochracea,162,42,0,27,38,66,61,44,57,62,68,209,35,22,26,40,0,70,64,73,60
Chryseobacterium shandongense,234,0,0,0,0,19,25,35,0,0,20,69,47,56,88,49,29,41,57,24,21
Weissella confusa,12,11,30,14,13,21,24,34,0,29,55,39,20,18,34,31,37,36,31,23,20
