,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Corynebacterium vitaeruminis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047542150077889894,0.0,0.0,0.0,0.00031524466926893634,0.0,0.0,0.0011655338684716614,0.0,0.0,0.0,0.00043340689512447037,0.0,0.0
Desulfosudis oleivorans,0.00042979108636730025,0.0,0.0,0.0,0.0,0.0,0.00031097766713883445,0.0006338953343718653,0.0,0.00037307006193584814,0.0,0.0009907689605595143,0.0005358966114411106,0.0005736912565764482,0.0011655338684716614,0.001104484693830216,0.0007714035559132583,0.0006343135592201815,0.0006501103426867056,0.0003628956606025592,0.00039312944517079794
Agrobacterium vaccinii,0.0005274708787235048,0.0,0.0,0.0,0.0,0.0,0.00031097766713883445,0.0007244518107107031,0.0004213432845253954,0.0004352484055918228,0.0,0.00038279709839799417,0.0005923067810664907,0.0004917353627798128,0.0006906867368720956,0.0011928434693366332,0.0008999708152321347,0.0010015477250844972,0.0007313741355225438,0.0009072391515063981,0.0002620862967805319
Streptomyces sp. JB150,0.0,0.0,0.0,0.0,0.0,0.0,0.0006996997510623775,0.00043014326260947997,0.0,0.0,0.0,0.0,0.0009589728836314612,0.00090151483176299,0.0013382055526896851,0.0010603053060770074,0.0007285478028069662,0.0,0.0007313741355225438,0.0,0.00037440899540075993
Vibrio rhizosphaerae,0.00025396746012613193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004316792105450597,0.0,0.0,0.0,0.0,0.0,0.0
Comamonas flocculans,0.00033211129401109564,0.0,0.0004304273390228654,0.0,0.0,0.0,0.0,0.00047542150077889894,0.0,0.0,0.0,0.0,0.0004512813570030405,0.0,0.0,0.0006626908162981296,0.0,0.0,0.0,0.0,0.0005428930433311019
Pseudomonas koreensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007333322051299409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olleya sp. HaHaR_3_96,0.0009377260066195641,0.0,0.0,0.0,0.0,0.001158609415913395,0.0010625070293910175,0.0,0.0009129104498050235,0.0009637643266676077,0.0006270677267982038,0.001170908771570335,0.0006205118658791807,0.0,0.0,0.0,0.0,0.001502321587626746,0.0007855499974131026,0.0009435287175666539,0.0
Acinetobacter nosocomialis,0.00126983730063066,0.0,0.0,0.0,0.0,0.0007724062772755966,0.0004923813063031545,0.0006112562152871557,0.0,0.0006217834365597468,0.0006038429961760481,0.0006755242912905779,0.0004794864418157306,0.0,0.0008201905000356135,0.0029158395917117702,0.0011571053338698873,0.001669246208474162,0.000812637928358382,0.0,0.0004680112442509499
Mycobacterium seoulense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036666610256497044,0.0,0.0,0.0,0.0004714132841692134,0.0,0.0,0.0,0.0
Campylobacter cuniculorum,0.0,0.0003638393920309912,0.0,0.0003642343702478797,0.0,0.0,0.0,0.00033958678627064203,0.0,0.0,0.0,0.00029272719289258375,0.00031025593293959033,0.000450757415881495,0.0,0.0,0.0,0.0003338492416948324,0.0003250551713433528,0.0,0.0
Succinivibrio dextrinosolvens,0.002383386933491392,0.001819196960154956,0.003147499916604703,0.0008065189626917336,0.0019768706138183255,0.0012990469208725944,0.0017362919748584922,0.0014036253832519871,0.0010884701516906048,0.0008704968111836457,0.0012309107229742519,0.0029948243580548957,0.0012128186469456714,0.0019259635042209336,0.002331067736943323,0.0027391220406989356,0.00261420093948382,0.004006190900337989,0.0018690672352242785,0.0017056096048320283,0.0017222813788434956
Streptomyces sp. Tu 2975,0.00042979108636730025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013060136298284506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraburkholderia caledonica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035214310228863223,0.0,0.0
Salegentibacter mishustinae,0.0005079349202522639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040531457477434676,0.0,0.0,0.0,0.0006626908162981296,0.0,0.0010015477250844972,0.0010293413759206171,0.0008709495854461421,0.0
Vibrio azureus,0.00019535958471240923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004714132841692134,0.0005341587867117319,0.0,0.0,0.0
Sedimenticola selenatireducens,0.00023443150165489103,0.0,0.0,0.0,0.0,0.0,0.0002591480559490287,0.000384865024440061,0.0,0.0,0.0,0.00033776214564528893,0.0004794864418157306,0.0004917353627798128,0.0009065263421446255,0.0005301526530385037,0.0008142593090195503,0.0004340040142032822,0.000541758618905588,0.0003628956606025592,0.00029952719632060794
Pantoea phytobeneficialis,0.0007814383388496369,0.0,0.0,0.0,0.0,0.0,0.0,0.0003169476671859326,0.0,0.0,0.0,0.00031524466926893634,0.0,0.0,0.0,0.0,0.0012428168400824716,0.0010349326492539806,0.00048758275701502924,0.0005080539248435829,0.0003556885456307219
Brevundimonas sp. M20,0.000488398961781023,0.0,0.0004304273390228654,0.0004422845924438539,0.0,0.0,0.0,0.0004075041435247705,0.0,0.0,0.0,0.0,0.0027923033964563134,0.0,0.0006906867368720956,0.0007068702040513382,0.00141423985250764,0.000701083407559148,0.0003792310332339116,0.0009072391515063981,0.0004305703447108739
