,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Lacrimispora sphenoides,-6.397955729563331,-6.149132629333288,-5.842092661641832,-6.85082186876535,-6.583615319784289,-7.125358767227616,-6.5884054768840805,-6.430822652170147,-7.016319035411489,-6.859486122572909,-6.523613891607551,-5.719206505620735,-6.42368722788409,-6.182475348270737,-5.610937610538015,-4.948597660627696,-5.809711866525428,-5.718158868833137,-6.063465817141379,-6.405789760915105,-6.152356279970862
Alistipes dispar,-5.23836697268267,-5.133972822162276,-5.837646756610636,-4.648999653911649,-4.946658181424864,-4.651851963378583,-4.563438561367501,-3.9754954318655824,-4.2145959814332015,-4.549061999803981,-5.03422905086862,-6.10097342457031,-4.128554825836626,-3.5939391646697563,-3.5890381289666458,-4.245888721066279,-4.031381965190757,-4.969576903158969,-4.580467927348811,-4.343880663412061,-3.9384964688862674
Clostridium sp. SY8519,-6.643508435819016,-5.947204310556549,-5.064299563137361,-6.416419044619572,-6.296517209060022,-6.769878112629223,-6.221843433024068,-6.221369286541192,-7.062969128710308,-6.8234811691174,-6.475115373916359,-6.3778993948752705,-6.345500874526605,-5.986078135467229,-5.748136800347179,-4.723115654649007,-5.6214083357682645,-5.651275190677553,-5.843315346591603,-6.1170904716879555,-6.062973684557159
Agathobaculum sp. NTUH-O15-33,-5.408691004701685,-7.45757749485703,-7.052659647581494,-7.281833004251945,-7.26433680331089,-7.111283582015893,-6.281667592952121,-5.513450572693303,-6.498470730548858,-6.615676284004004,-6.930454237919776,-7.253719983654531,-5.830596846279531,-5.557984483362943,-5.065052631799549,-5.273974234290742,-5.360404465161839,-5.596648111925451,-5.821051092373119,-5.962183109439483,-4.969469353573599
Bacteroides luhongzhouii,-3.4811171070621048,-5.222064151787131,-4.878161916349352,-4.821870495069215,-4.563897085169778,-4.63287718252341,-5.022759683697087,-6.194808460270058,-6.843482438549264,-6.555375773736193,-6.602815722635938,-4.632851454411197,-5.851590353933353,-5.609008486387409,-7.142128854818204,-6.347325976037999,-5.561784353081842,-5.517296885641634,-5.4925101744141,-5.1688850869059575,-3.0647804412627853
Enterocloster clostridioformis,-1.2428290913113835,-4.620573049186457,-4.240895058185874,-4.709581555280328,-4.98256583489549,-5.74250167369791,-5.212109550039581,-4.7495842403923385,-5.559274009611056,-5.499522539002665,-5.211584257786418,-1.631039149703895,-4.813332638975306,-4.453259253709461,-3.8070653577416933,-3.9456483682052266,-4.534303616659737,-4.2873609436367826,-4.739448373531288,-5.035840151164794,-3.6623400052657793
Faecalibacterium sp. I3-3-89,-5.00960502647049,-0.8713050012728697,-0.15788518309378294,-0.8961364973657107,-1.1407225364525941,-3.5755929707427656,-2.7507893396403813,-3.111715076345157,-2.5912748349622867,-3.785257696637883,-3.085355166059807,-5.396936174925602,-3.2360176252356454,-2.95594846928284,-2.733980371785171,-2.5901338487184895,-2.0157959811336745,-2.2381300485535873,-2.5741704852740384,-2.689052067149802,-3.285855212456593
Phocaeicola salanitronis,-3.440772392568841,-4.831274198754966,-4.926914094707725,-4.991795496511528,-4.9494981332098265,-5.386273121187032,-5.608330018866207,-6.008757885997338,-6.036127516491661,-6.063335204852041,-6.262121650582158,-3.845204203771078,-5.877671007403448,-6.169651307913148,-6.251753345992689,-4.9116781970838685,-4.312934891556468,-5.178700191968441,-4.6299257316361055,-4.070605569325467,-3.7008049111669368
Jahgtovirus secundus,0.0,0.0,0.0,0.0,0.0,-3.2904849850763322,-7.49439691693785,-3.3691139475095198,-8.405361326157406,-2.560658441816872,-1.218039279923717,0.0,-7.543829590972579,0.0,0.0,0.0,0.0,0.0,-8.073958190959049,-6.0392792351315645,0.0
Homo sapiens,-2.0309854528490754,-3.2189505802730287,-2.684839307509576,-3.6275013708186417,-3.308316605145184,-2.8886410618592,-2.446737856913763,-2.670102704704518,-3.097239030795041,-3.0924968534804176,-2.9458623057814832,-1.567171324119701,-2.6814043020893643,-2.4503483110409063,-1.96659451726866,-1.7612827238685274,-1.6250272175624194,-1.000464378239752,-1.7229706306491612,-1.8948278416377167,-3.036805178596235
Fusobacterium varium,0.4291685104734647,-10.976951653950616,-10.78962524174772,-11.230200235836822,-11.477330526645279,-10.710321267948993,-9.535424185197954,-10.386428532811712,-11.47575065404903,-10.885765447371973,-11.224053609748642,-0.6504377884603941,-11.306330277246142,-10.487329929799154,-10.692325937378868,-10.21833953531803,-8.17030158178192,-7.354743872855679,-8.513778791167761,-8.89210467370337,-10.06116918771056
Sutterella wadsworthensis,-8.453683876939028,0.31870250302914854,-0.519496806945789,-0.8998435188786623,-0.4511843743791769,-9.797784109199219,-10.535424185198062,-10.430822652170146,-10.627753747494033,-11.066337693013594,-11.809016110470145,-8.724349808896706,-11.113685199303655,-10.767437848992008,-10.592790263827952,-1.9646786258291145,-1.1299611179166849,-1.255043967414217,-1.7031117201001191,-1.575784124363282,-6.884846415069955
Blautia hydrogenotrophica,-5.527164474581541,-5.9679628707233485,-5.126660229025266,-6.19402662328313,-6.161975085681197,-5.478111988252103,-5.049749663797353,-4.367427570881634,-5.598006404099774,-5.052875433207001,-4.587428989204986,-5.137099131580269,-4.22266100915403,-2.3797282073286703,-3.422197502576765,-3.244075910305175,-3.800206204434022,-4.146782766729732,-4.3996756999978945,-4.437202713546559,-1.9893850703204468
[Ruminococcus] lactaris,-4.125347080062053,-3.3691281954206302,-2.8096217096591936,-3.908272140949243,-3.66939021401709,-2.3608123641500254,-2.1907868514040536,-2.034753094530273,-2.562562034539883,-2.569417356836052,-2.1600594026039692,-3.3219264705957015,-3.8393070460571623,-3.2051954247708143,-2.9450920077586353,-2.08418345861954,-3.3092529796280754,-2.9616758282905256,-1.8167768458035247,-1.410235665946288,-4.028186771010979
Streptococcus suis,-7.666228512319096,-7.580061501382039,-7.2394281591872245,-8.142737394586279,-7.36690653695143,-6.780975821512553,-6.055954813324066,-5.537521121309578,-6.498470730548858,-6.407174250450989,-6.46324127362807,-6.769710342296569,-5.408052811942116,-5.154832593201604,-4.256506875963322,-5.397488770776096,-5.630568335053742,-5.331284900031684,-5.526331841510835,-6.0392792351315645,-6.295634441347432
Eubacterium callanderi,-5.589582554287911,-4.843552528533404,-5.0208107815421466,-5.1573977012924,-5.000124206279796,-5.322050678232705,-4.881614521393756,-4.413318251060727,-4.806156902860441,-5.662615506962557,-5.712740199413144,-5.893630893773585,-4.540984972816234,-3.8392367471379565,-3.6907166845170107,-4.474745202685814,-4.748600352222042,-3.5434525362388976,-4.509321898402004,-4.856784137970353,-3.685782160881523
Prevotella melaninogenica,-4.081266011597937,-5.436759023349465,-5.390779775971438,-5.624720717774936,-5.327583407140388,-8.28998946900044,-8.4285089812814,-8.636406785820064,-8.964788734771412,-8.995948365122166,-9.416698687691039,-2.5641902501533265,-8.574526388195535,-8.425045651544838,-7.758213873035137,-6.58975010219651,-6.197268629382173,-6.870443711139716,-6.400500804418959,-6.344944205694576,-8.727745453985268
