,sum,noZero,rowMeans
Desulfosudis oleivorans,0.008929962104285701,14,0.0006378544360204073
Agrobacterium vaccinii,0.009572079619268599,15,0.0006381386412845733
Streptomyces sp. JB150,0.0072231725215627,9,0.0008025747246180778
Comamonas flocculans,0.0028948253504448,6,0.0004824708917408
Olleya sp. HaHaR_3_96,0.0106854058952504,11,0.0009714005359318545
Acinetobacter nosocomialis,0.013369549072038599,14,0.0009549677908599
Campylobacter cuniculorum,0.0027803055033007998,8,0.00034753818791259997
Succinivibrio dextrinosolvens,0.0408834616971769,21,0.0019468315093893764
Salegentibacter mishustinae,0.0044777789977757,6,0.0007462964996292833
Sedimenticola selenatireducens,0.0060765523265189,13,0.0004674271020399154
Pantoea phytobeneficialis,0.0050427053921299,8,0.0006303381740162375
Brevundimonas sp. M20,0.0097908391636696,12,0.0008159032636391333
Vibrio plantisponsor,0.0050640540531177005,9,0.0005626726725686333
Oceanimonas sp. GK1,0.0056354331867558,10,0.00056354331867558
Nocardiopsis exhalans,0.0172751647615366,16,0.0010796977975960375
Propionibacterium australiense,0.005609383738348,12,0.0004674486448623333
Pluralibacter gergoviae,0.0071326090495424,12,0.0005943840874618667
Leptogranulimonas caecicola,0.024550453785670397,20,0.0012275226892835198
Thalassovita sp.,0.0135042099014416,18,0.0007502338834134222
Dactylococcopsis salina,0.0041358657411733,9,0.0004595406379081444
Pseudomonas viciae,0.005145269707473399,8,0.0006431587134341749
Caldisphaera lagunensis,0.0029528763176017,6,0.0004921460529336166
Lacrimispora sphenoides,0.29369632281306884,21,0.013985539181574707
Trichlorobacter ammonificans,0.007285446021435,13,0.0005604189247257692
Aeromonas veronii,0.0454477611489741,21,0.0021641791023321
Desulfocapsa sulfexigens,0.0080309572772244,14,0.0005736398055160286
Capnocytophaga ochracea,0.03419777115105951,19,0.0017998826921610267
Chryseobacterium shandongense,0.023700593111809803,15,0.0015800395407873202
Weissella confusa,0.0163454617691566,20,0.0008172730884578301
Actinomyces israelii,0.0052699756054953,12,0.000439164633791275
Nostoc sp. C057,0.0045281246842958,7,0.0006468749548994001
Kiritimatiella glycovorans,0.0065969686158487,10,0.00065969686158487
Megasphaera stantonii,0.0740610545768436,21,0.0035267168846116
Bacillus fonticola,0.0022461361570477,5,0.00044922723140954004
Aquiflexum balticum,0.013906312901574798,17,0.0008180184059749881
Caldichromatium japonicum,0.0044548531397867,8,0.0005568566424733375
Ralstonia pseudosolanacearum,0.0172341192265483,11,0.0015667381115043908
Gimesia algae,0.0044296820107762,7,0.0006328117158251714
Streptococcus uberis,0.015411866883778097,21,0.0007338984230370523
Arcobacter roscoffensis,0.015191394585216799,20,0.00075956972926084
Arthrobacter gengyunqii,0.0077548020333883,9,0.0008616446703764778
Simiduia sp. 21SJ11W-1,0.0017409527377627,5,0.00034819054755254
Gillisia sp. Hel1_33_143,0.0036104022397915,7,0.0005157717485416429
Paenibacillus tianjinensis,0.034385514072370296,17,0.0020226772983747234
Lactobacillus acidophilus,0.0094688561984995,16,0.0005918035124062187
Veillonella parvula,0.16476270310348473,21,0.007845843004927845
Neisseria elongata,0.0080490568339095,9,0.0008943396482121666
Luteolibacter sp. SL250,0.011120378189053901,15,0.0007413585459369268
Flavobacterium ammoniigenes,0.0096905533725449,13,0.0007454271825034539
